accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.026,1,15.835041,0.950868,0.042368,0.042368,22.36173,2.93606,1.0
0.04,2,12.668959,0.951011,0.064226,0.064226,15.095273,2.928968,1.0
0.056,3,11.061883,0.956081,0.083712,0.083712,12.30862,3.090176,1.0
0.067,4,10.151516,0.964437,0.095374,0.095374,10.778113,3.38446,1.0
0.0715,5,9.583096,0.971577,0.101837,0.101837,9.899207,3.591302,1.0
0.0765,6,9.261198,0.975557,0.106407,0.106407,9.359041,3.669542,1.0
0.075,7,9.025529,0.976669,0.107666,0.107666,9.005848,3.747472,1.0
0.0745,8,8.858246,0.975193,0.109782,0.109782,8.742873,3.806695,1.0
0.08,9,8.740133,0.972515,0.114446,0.114446,8.528998,3.793099,1.0
0.076,10,8.638532,0.969368,0.113267,0.113267,8.349468,3.758869,1.0
