objective_gap,lipschitz_L_W,noise_variance,steps_T,eta,avg_grad_norm_sq_bound
1.0,0.5,0.1,100,0.1,0.20500000000000002
1.0,0.5,0.1,300,0.05773502691896257,0.11835680518387329
1.0,0.5,0.1,1000,0.03162277660168379,0.06482669203345177
1.0,0.5,0.1,3000,0.018257418583505537,0.037427708096186355
1.0,0.5,0.1,10000,0.01,0.0205
1.0,0.5,0.1,30000,0.005773502691896258,0.011835680518387327
1.0,1.0,0.1,100,0.1,0.21000000000000002
1.0,1.0,0.1,300,0.05773502691896257,0.12124355652982143
1.0,1.0,0.1,1000,0.03162277660168379,0.06640783086353597
1.0,1.0,0.1,3000,0.018257418583505537,0.038340579025361636
1.0,1.0,0.1,10000,0.01,0.021
1.0,1.0,0.1,30000,0.005773502691896258,0.01212435565298214
1.0,2.0,0.1,100,0.1,0.22000000000000003
1.0,2.0,0.1,300,0.05773502691896257,0.1270170592217177
1.0,2.0,0.1,1000,0.03162277660168379,0.06957010852370434
1.0,2.0,0.1,3000,0.018257418583505537,0.040166320883712185
1.0,2.0,0.1,10000,0.01,0.022
1.0,2.0,0.1,30000,0.005773502691896258,0.012701705922171767
