j,l,warrant_derivative,attention_logit_derivative
0,0,0.5138498739182832,0.20655528309586166
0,1,0.0,-0.15033908488262498
0,2,0.0,-0.045034470184427286
0,3,0.0,-0.011181728028809502
1,0,0.0,-0.15033908488262498
1,1,0.15392508770631141,0.16717879562246635
1,2,0.0,-0.013490194558357742
1,3,0.0,-0.0033495161814836505
2,0,0.0,-0.045034470184427286
2,1,0.0,-0.013490194558357742
2,2,0.04610866680715292,0.05952802116686497
2,3,0.0,-0.001003356424079947
3,0,0.0,-0.011181728028809502
3,1,0.0,-0.0033495161814836505
3,2,0.0,-0.001003356424079947
3,3,0.01144844315692346,0.015534600634373097
